254	OPEN	Dephell cannot install via pipenv on python 3.7.4 due to fissix incompatible versions		2020-03-17 08:41:42 +0000 UTC
238	OPEN	Convert into homebrew receipt	enhancement	2020-01-20 12:44:32 +0000 UTC
237	OPEN	Expand `~` in paths	bug	2019-07-24 14:02:39 +0000 UTC
236	OPEN	Can't resolve version for dependency with extra requirements	bug	2019-07-24 14:03:09 +0000 UTC
235	OPEN	No support for private warehouses in `package install`	bug	2019-07-24 14:02:39 +0000 UTC
234	OPEN	Support for private warehouses with custom SSL certificates	bug	2019-07-24 14:02:38 +0000 UTC
233	OPEN	Fibonacci versioning	enhancement	2019-07-22 08:41:43 +0000 UTC
210	OPEN	`deps clean` command	command	2019-07-17 15:37:12 +0000 UTC
208	OPEN	Tell your use case	help wanted, docs	2020-03-18 15:47:10 +0000 UTC
207	OPEN	`jail shell` command	good first issue, command, Hacktoberfest	2020-01-28 15:46:11 +0000 UTC
200	OPEN	--steps to include or exclude some steps from command	enhancement	2019-07-01 20:02:56 +0000 UTC
198	OPEN	Allow to append command in venv run, not override	enhancement, question	2019-07-11 09:50:15 +0000 UTC
189	OPEN	Clean-up command	help wanted, good first issue, question, command, Hacktoberfest	2019-11-12 12:52:46 +0000 UTC
188	OPEN	pipelines	enhancement	2019-06-26 14:00:52 +0000 UTC
181	OPEN	`generate sphinx` command	good first issue, command, Hacktoberfest	2019-09-27 17:39:32 +0000 UTC
178	OPEN	Option to use README.md and not README.rst		2020-03-18 10:25:03 +0000 UTC
174	OPEN	FileExistsError when converting from pyproject.toml to poetry.lock		2020-07-21 14:07:27 +0000 UTC
168	OPEN	Aliases for entrypoints in `jail install`	enhancement, good first issue, Hacktoberfest	2019-09-27 17:39:32 +0000 UTC
166	OPEN	`dephell global` to manage global config	good first issue, command, Hacktoberfest	2019-09-27 17:39:32 +0000 UTC
164	OPEN	Finish off the Community Profile		2019-06-17 06:36:58 +0000 UTC
160	OPEN	`generate gitattributes` command	good first issue, command, Hacktoberfest	2019-09-27 17:39:32 +0000 UTC
157	OPEN	`generate readme` command	good first issue, command, Hacktoberfest	2019-10-02 09:07:30 +0000 UTC
156	OPEN	`package interface` to compare releases interfaces	command	2019-06-13 07:58:34 +0000 UTC
155	OPEN	Run `project test` on CI		2019-06-13 07:51:43 +0000 UTC
133	OPEN	`deps names` command to check name squatting	command	2019-05-28 19:51:47 +0000 UTC
123	OPEN	Document dependencies merge	docs	2019-07-05 08:17:49 +0000 UTC
121	OPEN	Add examples for all commands	enhancement, good first issue	2019-09-27 17:40:46 +0000 UTC
116	OPEN	`deps tidy` to drop unused dependencies	command	2019-05-23 09:24:24 +0000 UTC
98	OPEN	.rpm, .deb, .msi, etc	enhancement	2020-01-30 00:42:37 +0000 UTC
96	OPEN	`generate gitignore` command	command	2020-01-07 19:31:13 +0000 UTC
73	OPEN	Github package registry support		2019-05-11 20:28:52 +0000 UTC
70	OPEN	`dephell project cd` command	good first issue, command, Hacktoberfest	2019-10-08 13:20:11 +0000 UTC
54	OPEN	Custom inline dependency format	help wanted, question	2019-05-04 15:40:43 +0000 UTC
50	OPEN	Debian repositories support	enhancement	2019-05-28 17:08:26 +0000 UTC
38	OPEN	Reversed dependencies for a package	enhancement, help wanted, question	2019-05-24 21:06:40 +0000 UTC
37	OPEN	`jail update` command	command	2019-05-23 09:20:12 +0000 UTC
36	OPEN	Github API support	enhancement	2019-04-22 12:17:00 +0000 UTC
34	OPEN	Test untested commands	help wanted, good first issue	2019-12-17 11:55:30 +0000 UTC
32	OPEN	PEP-582 support	question	2019-04-22 09:04:47 +0000 UTC
22	OPEN	`jail inject` command to install packages into existing jail	command	2020-01-28 15:43:57 +0000 UTC
13	OPEN	dephell build-backend	enhancement	2019-04-22 07:51:34 +0000 UTC
10	OPEN	Python 3.5.2 support	question	2020-06-26 18:36:40 +0000 UTC
2	OPEN	Tox support	enhancement	2020-09-07 09:18:50 +0000 UTC
